request,id,n,search_20_none,search_10_none,search_20_rerank,search_10_rerank,search_20_other,search_10_other
божьи черновики в геологии,[2536],1,"[328, 1785, 2768, 6511, 2989, 5484, 3785, 8006, 4971, 192, 1544, 2180, 6560, 7637, 517, 4798, 6623, 5396, 2253, 7173]","[328, 1785, 2768, 6511, 2989, 5484, 3785, 8006, 4971, 192]","[1544, 8095, 2896, 6509, 5484, 60, 8072, 2683, 5840, 2705, 4675, 15, 259, 6560, 7173, 1951, 5396, 4419, 192, 2839]","[1544, 8095, 2896, 6509, 5484, 60, 8072, 2683, 5840, 2705]","[2683, 1544, 5484, 8072, 7044, 5726, 517, 2238, 7173, 5035, 397, 6623, 60, 680, 5181, 4908, 4854, 2757, 5840, 259]","[2683, 1544, 5484, 8072, 7044, 5726, 517, 2238, 7173, 5035]"
связь между питанием и болезнью Альцгеймера,[687],1,"[4214, 687, 4566, 592, 6886, 6237, 1492, 2213, 2590, 5041, 1409, 7539, 2094, 4677, 7299, 1641, 3880, 5675, 5424, 612]","[4214, 687, 4566, 592, 6886, 6237, 1492, 2213, 2590, 5041]","[687, 4739, 5007, 5161, 3822, 7225, 7904, 3877, 6683, 4009, 5340, 3918, 5466, 660, 4584, 770, 7299, 3953, 1492, 6176]","[687, 4739, 5007, 5161, 3822, 7225, 7904, 3877, 6683, 4009]","[6886, 7299, 687, 2094, 964, 4214, 279, 791, 6224, 254, 5041, 6237, 1492, 7753, 2050, 770, 5423, 5353, 6774, 4566]","[6886, 7299, 687, 2094, 964, 4214, 279, 791, 6224, 254]"
особенности спаривания альпак,[3895],1,"[3895, 3400, 7863, 17, 5580, 3501, 6518, 4182, 6866, 8264, 1136, 2160, 6537, 7657, 6267, 5250, 257, 6735, 8125, 4948]","[3895, 3400, 7863, 17, 5580, 3501, 6518, 4182, 6866, 8264]","[3895, 965, 3493, 3875, 7657, 8068, 7994, 6855, 2982, 1157, 7132, 5580, 3091, 6866, 4773, 3002, 1682, 3132, 3350, 4359]","[3895, 965, 3493, 3875, 7657, 8068, 7994, 6855, 2982, 1157]","[3895, 3132, 3493, 3002, 4426, 4773, 7994, 3091, 8125, 5431, 7251, 141, 8177, 7863, 3727, 8061, 1443, 546, 5580, 1682]","[3895, 3132, 3493, 3002, 4426, 4773, 7994, 3091, 8125, 5431]"
экология Белого моря,[6669],1,"[318, 8100, 7886, 6510, 7257, 6826, 3205, 8181, 3858, 3654, 2152, 6919, 2137, 867, 7399, 3018, 2204, 3834, 5047, 1382]","[318, 8100, 7886, 6510, 7257, 6826, 3205, 8181, 3858, 3654]","[7886, 7553, 2204, 6508, 5925, 8232, 1174, 658, 4613, 3654, 8242, 7773, 1621, 3834, 8100, 5301, 7637, 5208, 3018, 506]","[7886, 7553, 2204, 6508, 5925, 8232, 1174, 658, 4613, 3654]","[3331, 6510, 658, 6508, 7886, 7034, 7553, 3294, 4613, 6880, 7257, 8232, 6591, 7773, 6826, 2990, 318, 397, 6536, 6919]","[3331, 6510, 658, 6508, 7886, 7034, 7553, 3294, 4613, 6880]"
роботы для исследования Луны,[4005],1,"[4005, 5077, 2435, 1922, 3964, 6046, 1765, 2720, 5632, 6346, 7555, 6776, 7008, 5523, 1554, 3329, 1668, 4138, 6399, 5909]","[4005, 5077, 2435, 1922, 3964, 6046, 1765, 2720, 5632, 6346]","[4005, 2218, 2318, 7008, 4888, 2604, 3871, 1668, 7271, 753, 5077, 3964, 1622, 1922, 4132, 6850, 651, 7555, 2973, 5523]","[4005, 2218, 2318, 7008, 4888, 2604, 3871, 1668, 7271, 753]","[4005, 651, 1922, 7134, 3964, 2732, 2218, 2661, 5165, 7271, 631, 1561, 2318, 1554, 4138, 5632, 1765, 5730, 5523, 1668]","[4005, 651, 1922, 7134, 3964, 2732, 2218, 2661, 5165, 7271]"
возраст кремневых орудий,[7871],1,"[5531, 5488, 6899, 4277, 4441, 7074, 4028, 1512, 2989, 6893, 6700, 2498, 827, 6765, 2366, 5146, 6492, 7304, 6795, 752]","[5531, 5488, 6899, 4277, 4441, 7074, 4028, 1512, 2989, 6893]","[5531, 5495, 6765, 6899, 5395, 0, 6024, 6800, 532, 3122, 5488, 8025, 3181, 6451, 6043, 3430, 6688, 5116, 5560, 543]","[5531, 5495, 6765, 6899, 5395, 0, 6024, 6800, 532, 3122]","[5531, 6899, 4028, 1046, 5488, 7871, 7304, 281, 7405, 5395, 225, 6765, 3283, 7630, 665, 5640, 2954, 1874, 1512, 5285]","[5531, 6899, 4028, 1046, 5488, 7871, 7304, 281, 7405, 5395]"
ИМТ,"[399, 773, 4791, 5050]",4,"[6225, 805, 8056, 2984, 2431, 4927, 6403, 6149, 2756, 1111, 2559, 2151, 8067, 6684, 2077, 139, 7957, 35, 4435, 1368]","[6225, 805, 8056, 2984, 2431, 4927, 6403, 6149, 2756, 1111]","[2700, 2849, 6140, 6210, 4133, 5761, 3662, 4149, 6149, 6387, 925, 2077, 1498, 5311, 4131, 5458, 2491, 730, 2509, 6225]","[2700, 2849, 6140, 6210, 4133, 5761, 3662, 4149, 6149, 6387]","[2491, 3553, 1977, 4872, 2700, 4927, 6149, 4915, 1696, 2984, 2302, 1182, 1090, 120, 139, 1794, 639, 1368, 2248, 5458]","[2491, 3553, 1977, 4872, 2700, 4927, 6149, 4915, 1696, 2984]"
статьи про токсичные отношения,[585],1,"[585, 1015, 1822, 971, 4528, 6764, 4069, 1351, 8237, 6134, 2367, 7982, 5352, 2912, 177, 2035, 830, 1549, 1666, 5459]","[585, 1015, 1822, 971, 4528, 6764, 4069, 1351, 8237, 6134]","[585, 177, 971, 6195, 4528, 636, 8237, 543, 7061, 6706, 4069, 647, 305, 770, 1015, 5541, 382, 3717, 5745, 1381]","[585, 177, 971, 6195, 4528, 636, 8237, 543, 7061, 6706]","[4069, 585, 971, 7061, 5353, 5423, 8241, 305, 5185, 177, 636, 4528, 4878, 7839, 4749, 6252, 3246, 1351, 6195, 1208]","[4069, 585, 971, 7061, 5353, 5423, 8241, 305, 5185, 177]"
исследования препаратов от сердечной недостаточности,[4710],1,"[4710, 4167, 1392, 4633, 1449, 7061, 7055, 6481, 7327, 2323, 2143, 6689, 5081, 4600, 226, 7618, 6040, 8164, 6682, 5031]","[4710, 4167, 1392, 4633, 1449, 7061, 7055, 6481, 7327, 2323]","[4710, 2323, 7061, 3025, 6870, 5031, 4167, 181, 6617, 6503, 5686, 7298, 5451, 4408, 1641, 7880, 1742, 7239, 7055, 6799]","[4710, 2323, 7061, 3025, 6870, 5031, 4167, 181, 6617, 6503]","[4710, 226, 4167, 6503, 5686, 1392, 998, 5796, 7622, 7061, 6040, 4633, 7055, 7239, 6481, 8107, 6744, 1087, 7618, 7918]","[4710, 226, 4167, 6503, 5686, 1392, 998, 5796, 7622, 7061]"
преодоление долины смерти,[6369],1,"[5768, 1405, 7697, 1921, 3571, 4142, 7537, 388, 3333, 3994, 6948, 7849, 6352, 1459, 3684, 7172, 3278, 8188, 4944, 3450]","[5768, 1405, 7697, 1921, 3571, 4142, 7537, 388, 3333, 3994]","[7277, 5297, 5768, 1470, 2183, 5740, 5560, 6088, 178, 4142, 4493, 6055, 7810, 5356, 6986, 3305, 3819, 8188, 6767, 399]","[7277, 5297, 5768, 1470, 2183, 5740, 5560, 6088, 178, 4142]","[7172, 5297, 3994, 5623, 7277, 423, 7327, 5356, 2844, 2526, 5740, 5768, 1921, 3353, 7408, 7810, 1575, 6724, 7537, 6918]","[7172, 5297, 3994, 5623, 7277, 423, 7327, 5356, 2844, 2526]"
