,request,id,n
0,почему голые землекопы живут так долго,[0],1
1,открытия в изучении голых землекопов,[0],1
2,статьи о бактериях и антибиотиках,[1],1
3,бактериальные батареи,[1],1
4,экологичные методы добычи нефти в Арктике,[2],1
5,влияние пероксида кальция на,[2],1
6,темная материя и квантовый шум,[3],1
7,исследования темной материи,[3],1
8,статьи о грибах в медицине,[4],1
9,новости про белорусские научные достижения,[4],1
10,сравнение эффективности обеззараживания бензином и спиртом,[5],1
11,новости про бензин,[5],1
12,статьи про летучих мышей,[6],1
13,новости про европейскую летучую мышь,[6],1
14,бактерии в космосе,[7],1
15,стерилизация космических кораблей,[7],1
16,достижения в области нейронных сетей,[8],1
17,расшифровка древнерусских грамот,[8],1
18,Нобелевская премия мира 2025,[9],1
19,венесуэльский политик Мария Корина,[9],1
20,исследования психологии личности,[10],1
21,различия между добрыми и хитрыми людьми,[10],1
22,статьи про различия в болевом пороге между полами,[11],1
23,исследования боли у мужчин и женщин,[11],1
24,здоровье короля Ричарда III,[12],1
25,исследования микробиома полости рта,[12],1
26,открытия в области гравитационных волн,[13],1
27,слияния черных дыр,[13],1
28,сезонная аллергия и самоубийства,[14],1
29,статистика самоубийств и аллергии,[14],1
30,статьи о недавних открытиях на Марсе,[15],1
31,происхождение оврагов на Марсе,[15],1
32,история советской атомной энергетики,[16],1
33,достижения в атомной энергетике,[16],1
34,советы по приготовлению лука,[17],1
35,научные советы по кулинарии,[17],1
36,прогнозирование срока службы авиационных деталей,[18],1
37,новые технологии в авиаци,[18],1
38,влияние трансляций азартных игр,[19],1
39,психология азартных игр,[19],1
40,нобелевская премия по литературе 2025,[20],1
41,лауреат нобелевской прем,[20],1
42,археологические исследования доиспанского человека,[21],1
43,роль кишечных бактерий в питании,[21],1
44,статьи о яйцах в рационе россиян,[22],1
45,польза яиц для здоровья,[22],1
46,технологии создания яйцеклеток из кожи,[23],1
47,угрозы новой технологии в медицине,[23],1
48,новости про кратеры на Луне,[24],1
49,научные открытия о Луне,[24],1
50,влияние собак на психическое здоровье,[25],1
51,тренировки собак в армии,[25],1
52,археологические находки на острове Пасхи,[26],1
53,механизмы передвижения каменных статуй,[26],1
54,статьи о молниях на Венере,[27],1
55,исследования атмосферы Венеры,[27],1
56,статьи про уникальное волокно,[28],1
57,новости в области точных датчиков,[28],1
58,связь между синдромом беспокойных ног и болезнью Паркинсона,[29],1
59,исследования синдрома бесп,[29],1
60,теория Эйнштейна в космосе,[30],1
61,защита планет от перегрева,[30],1
62,нобелевская премия по химии 2025,[31],1
63,разработка металлоорганических каркасов,[31],1
64,осенние звездопады,[32],1
65,как увидеть звездопады в октябре,[32],1
66,статьи о микроволновке,[33],1
67,восьмидесятый день рождения микроволновки,[33],1
68,роль администраторов в вузе,[34],1
69,разница между научными и образовательными университетами,[34],1
70,достижения в области термоядерных реакторов,[35],1
71,точный датчик тока,[35],1
72,студенты-медики и физическая активность,[36],1
73,студенты-медики и образование,[36],1
74,кратковременное потепление в Тихом океане,[37],1
75,влияние кратковременного потеп,[37],1
76,исследования лунного грунта,[38],1
77,аномалии в лунном грунте,[38],1
78,квантовое туннелирование на макроуровне,[39],1
79,Нобелевская премия по физ,[39],1
80,анализ обломков «Эндьюранса»,[40],1
81,дневники Шеклтона,[40],1
82,статьи о привычке мастурбировать,[41],1
83,возрастные изменения в сексуальной жизни,[41],1
84,эксперименты с семенами в космосе,[42],1
85,способность семян выживать в космосе,[42],1
86,влияние быстрой лапши на здоровье,[43],1
87,польза и вред быстрой лапши,[43],1
88,статьи о непригодности звездных систем для жизни,[44],1
89,вероятность существования жизни во Вселенной,[44],1
90,статьи о витамине D2,[45],1
91,диетические рекомендации по витамину D,[45],1
92,статьи о необычных микроорганизмах,[46],1
93,структура микроорганизмов,[46],1
94,Нобелевская премия по физиологии и медицине,[47],1
95,исследования иммунитета,[47],1
96,открытия космического телескопа «Джеймс Уэбб»,[48],1
97,гравитационные лин,[48],1
98,советы от экспертов по защите от мошенничества,[49],1
99,способы предотвращения мошеннич,[49],1
100,статьи о гигантских ледниковых периодах,[50],1
101,питание древних людей,[50],1
102,статьи о влиянии гаджетов на детей,[51],1
103,советы по использованию гаджетов у детей,[51],1
104,аммиак в космосе,[52],1
105,Европа и обитаемые подледные океаны,[52],1
106,статьи про трудности с чтением,[53],1
107,влияние интеллекта и усердия на чтение,[53],1
108,сваи для строительства,[54],1
109,устойчивость к вспучиванию грунта,[54],1
110,самые чистые звезды в космосе,[55],1
111,новости про астрономические открытия,[55],1
112,творчество Вадима Кашина,[56],1
113,научно-фантастический сюрреализм,[56],1
114,достижения в области молекулярных кубитов,[58],1
115,физика на частотах мобильной связи,[58],1
116,энергопотребности детенышей горбатых китов,[59],1
117,исследования морских биологов,[59],1
118,атмосфера коричневых карликов,[60],1
119,фосфин в космосе,[60],1
120,статьи про литий для аккумуляторов,[61],1
121,технологии получения лития из пластовых вод,[61],1
122,статьи про грузовые беспилотники,[62],1
123,инновации в области аккумуляторных батарей,[62],1
124,перспективные материалы для биосенсоров,[63],1
125,использование ржавчины в электронике,[63],1
126,достижения в изучении океанических течений,[64],1
127,новости о Гольфстриме,[64],1
128,влияние диеты на здоровье мужчин,[65],1
129,замена красного мяса бобами,[65],1
130,лунная гонка в США,[66],1
131,альтернативы SpaceX в космосе,[66],1
132,астероиды и их орбиты,[67],1
133,космические миссии к астероидам,[67],1
134,секреты наблюдения за звездопадами,[68],1
135,подготовка к октябрьскому звездопаду,[68],1
136,статьи про технологии в стоматологии,[69],1
137,новости про лечение у ортодонта,[69],1
138,статьи о мошенничестве в интернете,[70],1
139,психология мошенников,[70],1
140,статьи о венерианских облаках,[71],1
141,вода в венерианских облаках,[71],1
142,статьи про использование полимеров в сельском хозяйстве,[72],1
143,достижения в агрохимии,[72],1
144,статьи про создание новых сплавов,[73],1
145,перспективные материалы в физике,[73],1
146,влияние переезда на здоровье сердца,[74],1
147,кардиология в США,[74],1
148,новости о планете-страннике,[75],1
149,скорость роста астероидов,[75],1
150,влияние нейросетей на веганство,[76],1
151,кампании за веганство,[76],1
152,статьи про цифровой двойник почвы,[77],1
153,прогнозирование наводнений и засух,[77],1
154,гипотеза об океане на спутнике Урана,[78],1
155,исследования на спутнике Урана,[78],1
156,статьи о хаббловском кризисе,[79],1
157,теории будущего сжатия Вселенной,[79],1
158,признаки мошенничества,[80],1
159,советы ученых против мошенничества,[80],1
160,статьи о водорослях,[81],1
161,перспективы использования водорослей в пищевой промышленности,[81],1
162,статьи о синтезе анилина,[82],1
163,экологичные методы производства лекарств,[82],1
164,новости про пермские ученые,[83],1
165,"вакцины живые, убитые и векторные",[83],1
166,экологичность товаров,[84],1
167,признаки экологичности товаров,[84],1
168,исследования подсветки в автомобилях,[85],1
169,методы борьбы с укачиванием в ночных поездках,[85],1
170,статьи про черные вдовы,[86],1
171,поведение самцов черных вдов,[86],1
172,статьи о запахе хлорки в бассейне,[87],1
173,химические процессы в бассейне,[87],1
174,влияние предупреждений о шок-контенте,[88],1
175,шок-контент в интернете,[88],1
176,фундаментальные математические проблемы,[89],1
177,задача о двуруком бандите,[89],1
178,новости про протолунные диски,[90],1
179,крупные объекты возле молодых звезд,[90],1
180,эксперименты с антинейтрино,[91],1
181,опровержение гипотезы дополнительных измерений,[91],1
182,достижения в изучении мозга мышей,[92],1
183,эксперименты с выражением морды у мышей,[92],1
184,статьи про создание цифровых тренажеров,[93],1
185,подготовка операторов сложной техники,[93],1
186,достижения в технологиях 6G,[94],1
187,алгоритмы в сетевых технологиях,[94],1
188,статьи про старение у куриных эмбрионов,[95],1
189,исследования молодости у животных,[95],1
190,достижения в технологиях сжигания угля,[96],1
191,экологичные методы сжигания угля,[96],1
192,исследования Луны,[97],1
193,геологические особенности обратной стороны Луны,[97],1
194,влияние галлюциногенных грибов на психическое здоровье,[98],1
195,депрессия после родов у мышей,[98],1
196,статьи про персонализированную медицину,[99],1
197,новости в области кардиологии,[99],1
198,бесовские огоньки на болотах,[100],1
199,исследования на болотах,[100],1
200,влияние развода на детей,[101],1
201,проблемы детей разведённых родителей,[101],1
202,статьи про искусственные защитные экраны,[102],1
203,стареющие звезды и их свойства,[102],1
204,атмосфера Юпитера,[103],1
205,неравномерное распределение воды в атмосфере,[103],1
206,статьи о переработке промышленных стоков,[104],1
207,использование фенола в промышленности,[104],1
208,биткоин и его конкуренты,[105],1
209,прогнозирование волатильности криптовалют,[105],1
210,методы диагностики врожденных патологий у детей,[106],1
211,разработки в России в области медицины,[106],1
212,статьи про радиацию и остеоартроз,[107],1
213,методы лечения остеоартроза,[107],1
214,статьи про яд мамб,[108],1
215,влияние антидотов на состояние пострадавших,[108],1
216,статьи про антибиотики,[109],1
217,исследования противостояния антибиотиков бактериям,[109],1
218,новости о межзвездных объектах,[110],1
219,особенности комет в космосе,[110],1
220,роль грибов в рационе приматов,[111],1
221,новости про питание приматов,[111],1
222,статьи про сверхчувствительные сенсоры,[112],1
223,технологии для обнаружения опасных газов,[112],1
224,статьи про термитов-фермеров,[113],1
225,использование термитов в сельском хозяйстве,[113],1
226,достижения в производстве кварцевого стекла,[114],1
227,технологии интернет-передачи,[114],1
228,необычные факты о сердце,[115],1
229,изменения формы в космосе,[115],1
230,антропология за последний миллион лет,[116],1
231,новости про переписывание истории человечества,[116],1
232,"книги, которые люди не забывают",[117],1
233,"книги, которые люди читают спустя годы",[117],1
234,история каменистых планет Солнечной системы,[118],1
235,анализ камня астронавтами «Аполло,[118],1
236,молекулярная структура льда,[119],1
237,влияние пузырьков газа на лед,[119],1
238,замкнутые циклы в физике,[120],1
239,почти вечный двигатель,[120],1
240,влияние политических взглядов на выбор спутника жизни,[121],1
241,статьи о влиянии пола на выбор спутника,[121],1
242,статьи про турбулентность в авиации,[122],1
243,достижения в авиационной технике,[122],1
244,полярное сияние на блуждающем коричневом карлике,[123],1
245,астрономические откры,[123],1
246,влияние собак на здоровье детей,[124],1
247,факторы риска астмы у детей,[124],1
248,открытия радиообсерватории,[125],1
249,спиральные рукава в протопланетных дисках,[125],1
250,статьи о переработке отходов бумажных комбинатов,[126],1
251,эластичный пластик из,[126],1
252,открытия в магнитостроении,[127],1
253,влияние марганца на магнитные материалы,[127],1
254,загадка обратной стороны Луны,[128],1
255,исследования Луны,[128],1
256,влияние жировых отложений на здоровье,[129],1
257,факторы риска развития рака,[129],1
258,рекордное обмеление реки Ганг,[130],1
259,влияние человека на окружающую среду,[130],1
260,археологические находки в Костенках,[131],1
261,уникальные артефакты,[131],1
262,влияние антропогенных выбросов на растительность в амазонских джунглях,[132],1
263,статистика,[132],1
264,археологические находки в России,[133],1
265,древние транспортные средства в России,[133],1
266,новости про Большое Магелланово Облако,[134],1
267,открытия в астрономии,[134],1
268,достижения в квантовой физике,[135],1
269,методы повышения точности измерений,[135],1
270,статистика расходов владельцев животных,[136],1
271,предпочтения владельцев животных,[136],1
272,статьи про гепардов,[137],1
273,естественные процессы в Саудовской Аравии,[137],1
274,связь менструального цикла с Луной,[138],1
275,научные открытия 2010-х,[138],1
276,статистика частоты инсульта,[139],1
277,методы профилактики инсульта,[139],1
278,крупнейшая симуляция Вселенной,[140],1
279,Евклид симуляция Вселенной,[140],1
280,достижения пермских инженеров,[141],1
281,портативные анализаторы смазки,[141],1
282,влияние микропластика на здоровье дельфинов,[142],1
283,статьи про вымирание индских дельф,[142],1
284,советы по безопасному сжиганию листвы,[143],1
285,химические реакции при сжигании листв,[143],1
286,статьи о поддельной РНК,[144],1
287,иммунитет бактерий к вирусам,[144],1
288,открытия в астрофизике,[145],1
289,горячий ветер из центра галактики,[145],1
290,статьи про левитирующие частицы,[146],1
291,технологии увеличения чувствительности сенсоров,[146],1
292,статьи про питание при анемии,[147],1
293,влияние чая матча на здоровье,[147],1
294,безопасность мостов в России,[148],1
295,проекты по улучшению инфраструктуры в Перми,[148],1
296,почему разговоры с нейросетями кажутся неестественными,[149],1
297,исследования в области искусственного интелл,[149],1
298,статьи про сверхпроводимость,[150],1
299,достижения в физике сверхпроводимости,[150],1
300,статьи про мегарапторов,[151],1
301,новости в области палеонтологии,[151],1
302,"астероиды, которые могут упасть на Луну",[152],1
303,взрыв астероидов,[152],1
304,отзывы о яблочном уксусе,[153],1
305,исследования о пользе яблочного уксуса,[153],1
306,примеры конвергентной эволюции,[154],1
307,псилоцибин и грибы,[154],1
308,кетодиета и ожирение,[155],1
309,кетодиета и печень,[155],1
310,методы быстрой медитации,[156],1
311,советы экспертов по медитации,[156],1
312,сравнение выносливости миллениалов и зумеров,[157],1
313,исследования на тему выносливости,[157],1
314,антисемитизм в искусственном интеллекте,[158],1
315,израильские исследования в области искус,[158],1
316,статьи про ультразвуковую технологию,[159],1
317,достижения в технологиях очистки воздуха,[159],1
318,теории формирования планет в Солнечной системе,[160],1
319,столкновения в ранней Солнеч,[160],1
320,экопроекты «Газпром нефти»,[161],1
321,изучение природы Восточной Сибири,[161],1
322,новости о лунной гонке,[162],1
323,роль России в космических исследованиях,[162],1
324,путешествия по Петербургу,[163],1
325,цифровые карты в городе,[163],1
326,влияние размера группы на работу с ИИ,[164],1
327,статьи о групповой работе с ИИ,[164],1
328,достижения в микроскопии живых организмов,[165],1
329,белки для микроскопии,[165],1
330,отечественное производство сорбентов,[166],1
331,технологии в фармацевтической промышленности,[166],1
332,отбор астронавтов для полетов на Луну,[167],1
333,отбор астронавтов для пол,[167],1
334,открытия подо льдами Антарктиды,[168],1
335,озера подо льдами Антарктиды,[168],1
336,влияние травли на мозг подростков,[169],1
337,влияние травли на мозг взрослых,[169],1
338,открытия в астрофизике,[170],1
339,процессы звездообразования,[170],1
340,статистика самоубийств и алкоголя,[171],1
341,влияние алкоголя на самоубийства,[171],1
342,археологические находки в катакомбах,[172],1
343,древнееврейские повстанцы,[172],1
344,статьи о внеземной цивилизации,[173],1
345,расстояние до ближайшей внеземной цивилизации,[173],1
346,лучшее время для наблюдения звездопада Секстантиды,[174],1
347,Секстантиды,[174],1
348,статьи о методах увеличения урожая фруктов,[175],1
349,достижения в сельском хозяйстве,[175],1
350,новости об исследованиях на Венере,[176],1
351,лавовые трубки на Венере,[176],1
352,статьи про поведенческую синхронность,[177],1
353,влияние окситоцина на общение,[177],1
354,массовое вымирание,[178],1
355,скорость исчезновения видов на Земле,[178],1
356,статьи про эстеровые масла,[179],1
357,экологичные альтернативы моторным жидкостям,[179],1
358,статьи про предсказание эффективности вакцин,[180],1
359,исследования в области вакцин,[180],1
360,способы обмануть вкусовые рецепторы,[181],1
361,способы уменьшить отвращение к пересол,[181],1
362,статьи про ускорение частиц в магнитосфере,[182],1
363,новости в области космической физики,[182],1
364,симптомы дислексии у детей,[183],1
365,методы лечения дислексии,[183],1
366,советы по сохранению приветливости в повседневной жизни,[184],1
367,психология приветливости,[184],1
368,электромобилизация в России,[185],1
369,электромотор и нефть,[185],1
370,влияние стресса на матерей подростков,[186],1
371,сравнение стресса у матерей и отцов,[186],1
372,статьи про защиту стали от ржавчины,[187],1
373,достижения российских ученых в металлургии,[187],1
374,древние структуры в Северном море,[188],1
375,научные открытия в Северном море,[188],1
376,достижения в борьбе с фейками,[189],1
377,система коллективной борьбы с фейками,[189],1
378,новости про ЦЕРН,[190],1
379,высокоэнергетические столкновения ядер,[190],1
380,статьи про микрошестеренки,[191],1
381,физика света и механизмы,[191],1
382,статьи о метеоритных кратерах,[192],1
383,размножение микроорганизмов,[192],1
384,статьи про спутник «Бион-М»,[193],1
385,катастрофы с российскими космическими апп,[193],1
386,статьи про ревность в межэтнических парах,[194],1
387,межэтнические отношения и ревность,[194],1
